PMCID,Ebola Protein,Interaction,Host Protein
PMC4333865,GP,inhibit,EMILIN1
PMC4333865,GP,degrade,EMILIN1
PMC9239184,VP40,bind,STAT1
PMC9239184,VP40,activate,STAT1
PMC9239184,VP40,inhibit,STAT1
PMC9239184,VP40,induce,STAT1
PMC9239184,VP40,signal,STAT1
PMC9239184,VP40,associate,CTSG
PMC9239184,VP40,associate,PRTN3
PMC9239184,GP,express,MARCKS
PMC9239184,VP40,express,MX1
PMC9239184,VP40,express,MX1
PMC7778350,GP,associate,CD4
PMC7778350,GP,associate,IL2
PMC9322689,GP,bind,CD4
PMC9322689,GP,interact,CD4
PMC9322689,GP,mediate,CD4
PMC9322689,GP,bind,TLR4
PMC9322689,GP,interact,TLR4
PMC9322689,GP,mediate,TLR4
PMC8619410,VP35,inhibit,IRF3
PMC8619410,VP35,block,IRF3
PMC10032372,GP,link,GP2
PMC11791206,GP,bind,NPC1
PMC11791206,GP,transport,NPC1
PMC5411992,GP,cleave,furin
PMC5411992,GP,activate,TLR4
PMC5411992,GP,mediate,TLR4
PMC5411992,GP,bind,NPC1
PMC5411992,GP,inhibit,NPC1
PMC5411992,GP,prevent,NPC1
PMC5411992,GP,bind,NPC1
PMC5411992,GP,mediate,NPC1
PMC5411992,GP,bind,HAVCR1
PMC5411992,GP,encode,HAVCR1
PMC12019533,GP,cleave,furin
PMC12019533,GP,translate,furin
PMC12019533,GP,cleave,GP2
PMC12019533,GP,translate,GP2
PMC12019533,GP,activate,GP2
PMC12019533,GP,trigger,GP2
PMC5755746,GP,change,Jun
PMC5755746,GP,impact,Jun
PMC5755746,GP,change,CIC
PMC5755746,GP,impact,CIC
PMC5755746,GP,change,CIC
PMC5755746,GP,impact,CIC
PMC7833471,GP,interact,NPC1
PMC7833471,GP,inhibit,NPC1
PMC7833471,GP,target,NPC1
PMC7833471,GP,bind,NPC1
PMC7833471,GP,interact,NPC1
PMC7833471,GP,activate,NPC1
PMC7833471,GP,impact,NPC1
PMC5958544,GP,bind,GP2
PMC5958544,GP,target,GP2
PMC8745396,GP,interact,NPC1
PMC8745396,GP,cleave,NPC1
PMC8745396,NP,target,NPC1
PMC5942362,VP40,interact,ABL1
PMC5942362,VP40,link,ABL1
PMC5942362,VP40,interact,NEDD4
PMC5942362,VP40,ubiquitinate,NEDD4
PMC5942362,VP40,facilitate,NEDD4
PMC5942362,VP30,bind,Dok1
PMC5942362,VP40,phosphorylate,ABL1
PMC5942362,VP40,neutralize,KPNA1
PMC9597532,GP,bind,ACE2
PMC9597532,GP,interact,NPC1
PMC9597532,GP,cleave,NPC1
PMC11292428,L,form,HR
PMC9574409,GP,impair,CRP
PMC9574409,NP,attach,HR
PMC12017122,GP,express,furin
PMC9449635,GP,cleave,furin
PMC9449635,GP,express,furin
PMC9449635,GP,form,furin
PMC9449635,GP,bind,furin
PMC9449635,GP,cleave,furin
PMC9449635,GP,express,furin
PMC9449635,GP,impact,furin
PMC5522984,GP,inhibit,BID
PMC5522984,GP,control,BID
PMC5394635,GP,associate,CD28
PMC5394635,GP,activate,CD28
PMC5394635,GP,induce,CD28
PMC10611415,NP,utilize,Timd4
PMC10611415,NP,utilize,Timd4
PMC10611415,NP,utilize,Irf1
PMC10611415,NP,utilize,Irf1
PMC10611415,NP,utilize,Gbp5
PMC10611415,NP,utilize,Gbp5
PMC10611415,NP,utilize,Arg1
PMC10611415,NP,utilize,Arg1
PMC10611415,VP30,express,Isg15
PMC10611415,VP30,express,Gbp5
PMC9505064,GP,neutralize,PRNT
PMC9505064,GP,facilitate,PRNT
PMC9505064,GP,neutralize,PRNT
PMC4632375,VP24,activate,STAT1
PMC4632375,VP24,inhibit,STAT1
PMC4632375,VP24,block,STAT1
PMC4632375,VP24,translocate,STAT1
PMC4632375,VP24,signal,STAT1
PMC4632375,VP40,inhibit,STAT1
PMC4632375,VP40,block,STAT1
PMC4632375,VP40,signal,STAT1
PMC4632375,VP40,inhibit,STAT2
PMC4632375,VP40,block,STAT2
PMC4632375,VP40,signal,STAT2
PMC4632375,VP40,inhibit,STAT3
PMC4632375,VP40,block,STAT3
PMC4632375,VP40,signal,STAT3
PMC4632375,VP40,inhibit,Jak1
PMC4632375,VP40,block,Jak1
PMC4632375,VP40,signal,Jak1
PMC4632375,VP40,inhibit,Tyk2
PMC4632375,VP40,block,Tyk2
PMC4632375,VP40,signal,Tyk2
PMC4632375,VP40,activate,Jak1
PMC4632375,VP40,inhibit,Jak1
PMC4632375,VP40,block,Jak1
PMC4632375,VP40,signal,Jak1
PMC6300876,VP40,express,GP2
PMC6300876,GP,interact,NPC1
PMC6300876,GP,induce,NPC1
PMC6300876,GP,mediate,NPC1
PMC6300876,GP,attach,NPC1
PMC6300876,GP,cleave,GP2
