Source,Relation,Target
AGRN,involved_in(Reactome),Defective EXT2 causes exostoses 2
AGRN,involved_in(Reactome),"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"
AGRN,involved_in(Reactome),NCAM signaling for neurite out-growth
AGRN,involved_in(Reactome),Diseases of glycosylation
AGRN,involved_in(Reactome),NCAM1 interactions
AGRN,involved_in(Reactome),Axon guidance
AGRN,involved_in(Reactome),Defective B3GALT6 causes EDSP2 and SEMDJL1
AGRN,involved_in(Reactome),Infectious disease
AGRN,involved_in(Reactome),Diseases of metabolism
AGRN,involved_in(Reactome),Metabolism of fat-soluble vitamins
AGRN,involved_in(Reactome),Metabolism of carbohydrates and carbohydrate derivatives
AGRN,involved_in(Reactome),Nervous system development
AGRN,involved_in(Reactome),SARS-CoV Infections
AGRN,involved_in(Reactome),SARS-CoV-2 Infection
AGRN,involved_in(Reactome),Attachment and Entry
AGRN,involved_in(Reactome),Sensory Perception
AGRN,involved_in(Reactome),Retinoid metabolism and transport
AGRN,involved_in(Reactome),Early SARS-CoV-2 Infection Events
AGRN,involved_in(Reactome),Respiratory Syncytial Virus Infection Pathway
AGRN,involved_in(Reactome),Respiratory syncytial virus (RSV) attachment and entry
AGRN,involved_in(Reactome),Viral Infection Pathways
AGRN,involved_in(Reactome),RSV-host interactions
AGRN,involved_in(Reactome),Formation of the dystrophin-glycoprotein complex (DGC)
AGT,involved_in(Reactome),Metabolism
AGT,involved_in(Reactome),Signal Transduction
AGT,involved_in(Reactome),PPARA activates gene expression
AGT,involved_in(Reactome),Metabolism of Angiotensinogen to Angiotensins
AGT,involved_in(Reactome),Peptide hormone metabolism
AGT,involved_in(Reactome),Signaling by GPCR
AGT,involved_in(Reactome),Class A/1 (Rhodopsin-like receptors)
AGT,involved_in(Reactome),Peptide ligand-binding receptors
AGT,involved_in(Reactome),GPCR downstream signalling
AGT,involved_in(Reactome),Metabolism of proteins
AGT,involved_in(Reactome),Regulation of lipid metabolism by PPARalpha
AGT,involved_in(Reactome),G alpha (q) signalling events
AGT,involved_in(Reactome),G alpha (i) signalling events
AGT,involved_in(Reactome),GPCR ligand binding
AGT,involved_in(Reactome),Metabolism of lipids
AIMP1,involved_in(Reactome),Developmental Biology
AIMP1,involved_in(Reactome),Metabolism
AIMP1,involved_in(Reactome),Selenoamino acid metabolism
AIMP1,involved_in(Reactome),Cytosolic tRNA aminoacylation
AIMP1,involved_in(Reactome),tRNA Aminoacylation
AIMP1,involved_in(Reactome),Metabolism of proteins
AIMP1,involved_in(Reactome),Metabolism of amino acids and derivatives
AIMP1,involved_in(Reactome),Translation
AIMP1,involved_in(Reactome),MITF-M-regulated melanocyte development
AIMP1,involved_in(Reactome),Transcriptional and post-translational regulation of MITF-M expression and activity
AKT1,involved_in(Reactome),Apoptosis
AKT1,involved_in(Reactome),Hemostasis
AKT1,involved_in(Reactome),Intrinsic Pathway for Apoptosis
AKT1,involved_in(Reactome),Activation of BAD and translocation to mitochondria 
AKT1,involved_in(Reactome),Activation of BH3-only proteins
AKT1,involved_in(Reactome),Signaling by ERBB2
AKT1,involved_in(Reactome),PIP3 activates AKT signaling
AKT1,involved_in(Reactome),Developmental Biology
AKT1,involved_in(Reactome),Cytokine Signaling in Immune system
AKT1,involved_in(Reactome),Adaptive Immune System
AKT1,involved_in(Reactome),Downregulation of ERBB2:ERBB3 signaling
AKT1,involved_in(Reactome),Metabolism
AKT1,involved_in(Reactome),Translocation of SLC2A4 (GLUT4) to the plasma membrane
AKT1,involved_in(Reactome),"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation"
AKT1,involved_in(Reactome),Signaling by NOTCH
AKT1,involved_in(Reactome),Signal Transduction
AKT1,involved_in(Reactome),Cell Cycle
AKT1,involved_in(Reactome),Disease
AKT1,involved_in(Reactome),MTOR signalling
AKT1,involved_in(Reactome),Immune System
AKT1,involved_in(Reactome),Regulation of beta-cell development
AKT1,involved_in(Reactome),Signaling by VEGF
AKT1,involved_in(Reactome),Signaling by WNT
AKT1,involved_in(Reactome),Metabolism of vitamins and cofactors
AKT1,involved_in(Reactome),AKT phosphorylates targets in the cytosol
AKT1,involved_in(Reactome),AKT phosphorylates targets in the nucleus
AKT1,involved_in(Reactome),Negative regulation of the PI3K/AKT network
AKT1,involved_in(Reactome),Membrane Trafficking
AKT1,involved_in(Reactome),TCF dependent signaling in response to WNT
AKT1,involved_in(Reactome),Metabolism of nitric oxide: NOS3 activation and regulation
AKT1,involved_in(Reactome),eNOS activation
AKT1,involved_in(Reactome),Regulation of gene expression in beta cells
AKT1,involved_in(Reactome),AKT-mediated inactivation of FOXO1A
AKT1,involved_in(Reactome),Generic Transcription Pathway
AKT1,involved_in(Reactome),PI3K/AKT Signaling in Cancer
AKT1,involved_in(Reactome),Cellular responses to stress
AKT1,involved_in(Reactome),Integrin signaling
AKT1,involved_in(Reactome),Transcriptional Regulation by TP53
AKT1,involved_in(Reactome),Signaling by GPCR
AKT1,involved_in(Reactome),Deactivation of the beta-catenin transactivating complex
AKT1,involved_in(Reactome),GPCR downstream signalling
AKT1,involved_in(Reactome),Regulation of T cell activation by CD28 family
AKT1,involved_in(Reactome),Co-stimulation by CD28
AKT1,involved_in(Reactome),CD28 dependent PI3K/Akt signaling
AKT1,involved_in(Reactome),Co-inhibition by CTLA4
AKT1,involved_in(Reactome),G beta:gamma signalling through PI3Kgamma
AKT1,involved_in(Reactome),G-protein beta:gamma signalling
